,URL,NOMBRE ARCHIVO,CLASE,CÓDIGO
0,https://en.wikipedia.org/wiki/Roman%E2%80%93Parthian_Wars,Roman%E2%80%93Parthian_Wars,EDAD ANTIGUA,1
1,https://en.wikipedia.org/wiki/Celts,Celts,EDAD ANTIGUA,1
2,https://en.wikipedia.org/wiki/Early_Middle_Ages,Early_Middle_Ages,EDAD MEDIA,2
3,https://en.wikipedia.org/wiki/Late_Middle_Ages,/Late_Middle_Ages,EDAD MEDIA,2
4,https://en.wikipedia.org/wiki/Philip_II_of_Spain,Philip_II_of_Spain,EDAD MODERNA,3
5,https://en.wikipedia.org/wiki/Louis_XIV,Louis_XIV,EDAD MODERNA,3
6,https://en.wikipedia.org/wiki/Spanish_American_wars_of_independence,Spanish_American_wars_of_independence,EDAD CONTEMPORÁNEA,4
7,https://en.wikipedia.org/wiki/World_War_I,World_War_I,EDAD CONTEMPORÁNEA,4
8,https://en.wikipedia.org/wiki/Prehistory,Prehistory,PREHISTORIA,5
9,https://en.wikipedia.org/wiki/Paleolithic,Paleolithic,PREHISTORIA,5
